TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA
LUPA3;1,56;;-0,55;0,52;0,08;-11,85;-202,54;-533,34;-1,46;-7,56;-6,10;2,16;2,96;0,30;-0,13;2,91;-93,19;-13,87;-12,23;0,15;0,85;0,03;-34,37;;1.071.883,23
LUXM3;0,00;;0,00;0,00;0,00;27,46;15,69;10,90;0,00;6,34;1,37;0,25;0,00;0,00;0,00;1,61;12,81;6,87;8,76;0,54;0,46;0,63;9,84;8,95;
LUXM4;32,00;4,39;12,81;1,64;0,88;27,46;15,69;10,90;8,90;6,34;1,37;0,25;1,40;7,14;-1,31;1,61;12,81;6,87;8,76;0,54;0,46;0,63;9,84;8,95;28.958,33
LWSA3;26,20;;228,16;5,17;3,02;41,29;10,80;3,54;74,84;66,64;-8,21;-0,57;8,08;6,89;-9,81;2,73;2,27;1,32;4,56;0,58;0,42;0,37;;;24.869.838,13
MAPT3;65,00;;-366,43;-10,71;77,27;;;;-370,98;-272,87;0,00;;;-14.932,04;-77,27;0,00;2,92;-21,09;2,89;-7,21;8,21;0,00;;;
MAPT4;30,99;;-174,70;-5,11;36,84;;;;-176,87;-272,87;0,00;;;-7.119,14;-36,84;0,00;2,92;-21,09;2,89;-7,21;8,21;0,00;;;15.696,50
MDIA3;36,20;0,69;19,27;2,00;1,39;36,32;10,07;9,92;18,97;20,14;1,17;0,12;1,91;9,48;-2,12;1,73;10,39;7,19;7,88;0,69;0,31;0,73;5,72;-1,61;44.016.720,05
MDNE3;7,02;;-4,23;0,55;0,27;31,71;8,38;-45,97;23,22;27,54;4,31;0,10;1,95;0,80;-0,59;2,64;-13,08;-6,35;1,26;0,49;0,51;0,14;-12,23;;3.868.451,10
MEAL3;3,56;;23,83;0,61;0,26;33,39;4,12;1,77;10,27;13,64;3,37;0,20;0,42;11,37;-0,33;1,12;2,56;1,09;3,84;0,43;0,57;0,61;-0,15;;21.191.374,00
MERC3;7,10;1,74;12,69;0,52;0,34;70,55;18,70;13,95;9,47;10,65;;;1,77;1,41;-0,69;1,86;4,13;2,65;;0,64;0,36;0,19;-22,11;;
MERC4;9,14;5,41;16,33;0,67;0,43;70,55;18,70;13,95;12,19;10,65;;;2,28;1,82;-0,89;1,86;4,13;2,65;;0,64;0,36;0,19;-22,11;;51.829,81
MGEL3;0,00;;0,00;0,00;0,00;14,58;8,60;-3,57;0,00;13,76;13,31;;0,00;0,00;0,00;3,05;5,16;-5,22;15,23;-1,01;2,01;1,46;5,41;;
MGEL4;5,49;;-1,66;-0,09;0,09;14,58;8,60;-3,57;0,69;13,76;13,31;;0,06;0,23;-0,20;3,05;5,16;-5,22;15,23;-1,01;2,01;1,46;5,41;;13.832,41
MGLU3;64,83;0,17;128,37;13,99;5,95;27,72;5,55;3,95;91,20;89,67;-1,53;-0,23;5,07;22,52;-14,79;1,79;10,90;4,63;10,58;0,43;0,57;1,17;17,24;;774.154.063,70
MILS3;5,44;;-37,23;1,24;0,93;38,14;-6,09;-7,44;-45,47;-45,32;0,16;0,00;2,77;5,27;-1,32;2,51;-3,33;-2,51;-2,77;0,75;0,25;0,34;-5,27;;7.493.999,48
MMAQ3;0,00;;0,00;0,00;0,00;7,60;7,53;6,58;0,00;-1,10;-1,10;-0,23;0,00;0,00;0,00;2,41;18,65;12,00;15,76;0,64;0,36;1,82;17,68;31,97;
MMAQ4;0,00;;0,00;0,00;0,00;7,60;7,53;6,58;0,00;-1,10;-1,10;-0,23;0,00;0,00;0,00;2,41;18,65;12,00;15,76;0,64;0,36;1,82;17,68;31,97;
MMXM3;1,64;;-0,09;-0,01;0,09;-21,10;-6.517,35;-9.647,88;-0,13;-2,41;-2,28;;8,51;-0,01;-0,11;0,03;16,45;-98,34;15,41;-5,98;6,98;0,01;27,80;;25.661,40
MNDL3;21,60;;-5,17;-0,37;0,05;33,66;11,39;-2,13;0,97;4,56;3,59;;0,11;-0,08;-0,07;0,29;7,13;-1,00;90,38;-0,14;1,14;0,47;3,75;;130.965,63
MNPR3;3,87;;-0,83;-0,07;0,14;28,37;14,13;-14,02;0,83;0,83;0,01;;0,12;-0,07;-0,20;0,13;8,40;-16,53;-8,29;-1,97;2,97;1,18;2,59;;19.474,87
MOAR3;130,00;5,40;-38,96;1,73;1,05;100,00;60.457,03;15.969,53;-10,29;-8,94;1,35;-0,23;;3,75;-1,83;2,95;-4,43;-2,70;-13,21;0,61;0,39;0,00;-21,94;0,83;68.474,36
MOVI3;11,24;3,30;47,02;1,54;0,46;24,28;5,98;1,77;13,93;23,13;9,20;1,02;0,83;-11,00;-0,64;0,87;3,28;0,98;4,11;0,30;0,70;0,55;25,88;27,71;38.658.978,48
MPLU3;26,80;;12,20;17,37;2,68;95,29;66,35;56,37;10,37;7,73;-2,64;-4,42;6,88;50,65;-23,58;1,06;142,40;21,94;100,98;0,15;0,85;0,39;-19,05;1,86;
MRFG3;13,07;;6,60;16,23;0,27;13,67;7,50;2,70;2,38;7,48;5,10;34,86;0,18;4,93;-0,45;1,15;245,71;4,04;12,66;0,02;0,98;1,50;20,06;;174.777.950,40
MRSA3B;38,90;0,90;26,28;3,22;1,23;25,71;32,57;15,73;12,69;;2,30;0,58;4,13;1.373,56;-1,50;1,01;12,27;4,69;11,00;0,38;0,62;0,30;0,18;11,22;61.658,40
MRSA5B;20,00;1,92;13,51;1,66;0,63;25,71;32,57;15,73;6,52;;2,30;0,58;2,12;706,20;-0,77;1,01;12,27;4,69;11,00;0,38;0,62;0,30;0,18;11,22;4.947,78
MRSA6B;20,00;1,92;13,51;1,66;0,63;25,71;32,57;15,73;6,52;;2,30;0,58;2,12;706,20;-0,77;1,01;12,27;4,69;11,00;0,38;0,62;0,30;0,18;11,22;5.254,67
MRVE3;15,28;7,27;10,88;1,29;0,46;29,46;11,04;11,18;11,01;15,66;4,65;0,55;1,22;1,57;-0,89;2,49;11,88;4,19;5,50;0,35;0,65;0,37;4,92;4,67;75.202.737,65
MSPA3;46,50;;-8,14;0,34;0,21;37,20;-33,58;-30,06;-7,29;-7,58;-0,20;0,01;2,45;4,32;-0,23;2,65;-4,14;-2,56;-4,44;0,62;0,38;0,09;1,64;;4.650,00
MSPA4;51,50;;-9,02;0,37;0,23;37,20;-33,58;-30,06;-8,07;-7,58;-0,20;0,01;2,71;4,79;-0,25;2,65;-4,14;-2,56;-4,44;0,62;0,38;0,09;1,64;;
MSRO3;0,01;;0,05;0,00;0,00;31,62;21,17;0,37;0,00;6,76;6,76;2,81;0,00;0,00;0,00;0,74;0,73;0,15;9,34;0,20;0,80;0,39;8,47;;
MTIG3;0,00;;0,00;0,00;0,00;15,87;-0,72;10,44;0,00;-71,42;-64,57;1,60;0,00;0,00;0,00;0,60;35,83;10,75;-31,10;0,30;0,70;1,03;2,36;;
MTIG4;40,44;;0,71;0,26;0,08;15,87;-0,72;10,44;-10,27;-71,42;-64,57;1,60;0,07;-0,34;-0,12;0,60;35,83;10,75;-31,10;0,30;0,70;1,03;2,36;;14.786,67
MTRE3;12,40;;64,88;1,37;1,05;30,91;10,23;6,46;40,94;15,31;-25,63;-0,85;4,19;1,39;-10,04;6,39;2,10;1,62;2,55;0,77;0,23;0,25;;;7.091.951,30
MTSA3;35,00;1,03;23,48;1,33;0,96;23,81;7,80;4,63;13,93;8,84;-0,96;-0,09;1,09;2,00;-3,58;2,91;5,65;4,09;6,57;0,72;0,28;0,88;5,41;1,65;22.699,75
MTSA4;15,78;2,53;10,58;0,60;0,43;23,81;7,80;4,63;6,28;8,84;-0,96;-0,09;0,49;0,90;-1,61;2,91;5,65;4,09;6,57;0,72;0,28;0,88;5,41;1,65;87.345,05
MULT3;20,69;2,27;22,37;2,14;1,19;79,75;61,35;41,97;15,30;18,02;2,72;0,38;9,39;33,45;-1,39;1,33;9,56;5,34;7,54;0,56;0,44;0,13;4,16;5,33;158.072.781,65
MWET3;7,00;;-0,37;-0,07;0,08;8,42;-7,58;-21,84;-1,06;-6,16;-5,47;;0,08;-0,12;-0,11;0,25;18,64;-22,54;10,65;-1,21;2,21;1,03;3,38;;6.550,00
MWET4;3,26;;-0,17;-0,03;0,04;8,42;-7,58;-21,84;-0,49;-6,16;-5,47;;0,04;-0,06;-0,05;0,25;18,64;-22,54;10,65;-1,21;2,21;1,03;3,38;;42.218,29
MYPK3;13,98;6,07;5,80;0,51;0,18;10,96;6,32;3,79;3,48;8,60;5,12;0,76;0,22;2,58;-0,30;1,23;8,86;3,16;6,04;0,36;0,64;0,83;7,91;28,59;32.081.858,63
NAFG3;64,37;;11,88;2,74;1,15;41,15;16,49;9,28;6,68;7,86;1,17;0,48;1,10;3,20;-2,87;2,52;23,09;9,71;15,89;0,42;0,58;1,05;6,81;57,09;9.648,50
NAFG4;64,42;;11,89;2,74;1,15;41,15;16,49;9,28;6,69;7,86;1,17;0,48;1,10;3,20;-2,87;2,52;23,09;9,71;15,89;0,42;0,58;1,05;6,81;57,09;77.304,00
NEMO3;0,00;;0,00;0,00;0,00;23,65;13,87;-54,97;0,00;;17,48;13,96;0,00;0,00;0,00;1,29;-316,55;-14,22;-5,78;0,04;0,96;0,26;20,53;;
NEMO5;0,00;;0,00;0,00;0,00;23,65;13,87;-54,97;0,00;;17,48;13,96;0,00;0,00;0,00;1,29;-316,55;-14,22;-5,78;0,04;0,96;0,26;20,53;;
NEMO6;0,00;;0,00;0,00;0,00;23,65;13,87;-54,97;0,00;;17,48;13,96;0,00;0,00;0,00;1,29;-316,55;-14,22;-5,78;0,04;0,96;0,26;20,53;;
NEOE3;18,46;2,48;9,35;1,11;0,38;23,27;15,65;8,48;5,06;9,97;4,90;1,07;0,79;5,31;-0,52;1,39;11,86;4,12;8,10;0,35;0,65;0,49;14,27;44,08;66.019.203,03
NORD3;3,73;;-8.232,71;-0,18;1,45;91,86;205,04;-0,19;7,78;19,47;11,69;;15,95;-0,51;-1,55;0,02;0,00;-0,02;-3,11;-8,19;9,19;0,09;;;12.926,93
NRTQ3;0,00;;0,00;0,00;0,00;26,96;13,95;9,21;0,00;-0,91;-0,91;-0,16;0,00;0,00;0,00;3,01;11,76;8,12;12,38;0,69;0,31;0,88;3,38;-5,97;
NTCO3;37,18;0,34;-64,72;2,18;0,79;67,96;3,49;-3,59;66,57;88,80;22,24;0,73;2,32;18,99;-1,05;1,20;-3,37;-1,22;1,08;0,36;0,64;0,34;12,83;-21,54;281.515.920,85
NUTR3;65,00;;0,24;0,65;0,14;17,42;1,38;54,33;9,47;22,39;12,92;0,88;0,13;0,77;-0,28;1,60;268,54;58,99;-43,19;0,22;0,78;1,09;12,71;;83.044,12
ODER4;0,00;;0,00;0,00;0,00;25,21;6,42;4,95;0,00;3,64;3,64;0,51;0,00;0,00;0,00;1,97;10,84;4,90;8,74;0,45;0,55;0,99;1,60;;
ODPV3;13,47;2,36;27,32;6,06;3,83;53,07;19,67;14,47;20,09;18,25;-1,84;-0,56;3,95;18,00;-7,58;1,76;22,18;14,02;20,78;0,63;0,37;0,97;7,68;5,19;27.599.456,08
OFSA3;24,00;0,07;26,14;2,64;1,40;49,17;11,97;7,73;16,88;19,73;2,84;0,44;2,02;6,51;-2,87;1,72;10,09;5,34;7,34;0,53;0,47;0,69;3,02;-7,73;522.048,63
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;45,53;-43,02;10,57;-0,94;1,94;0,00;;;
OIBR3;0,75;;-0,49;0,25;0,06;23,94;-14,79;-45,17;-1,50;-6,88;-5,36;0,90;0,22;0,73;-0,08;1,52;-51,11;-12,65;-8,29;0,25;0,75;0,28;-5,94;;99.154.717,53
OIBR4;1,10;;-0,72;0,37;0,09;23,94;-14,79;-45,17;-2,20;-6,88;-5,36;0,90;0,33;1,06;-0,12;1,52;-51,11;-12,65;-8,29;0,25;0,75;0,28;-5,94;;2.549.212,08
OMGE3;32,02;0,28;1.114,95;1,94;0,70;36,70;40,66;0,48;13,28;22,45;9,18;1,34;5,40;9,25;-0,81;2,46;0,17;0,06;5,09;0,36;0,64;0,13;47,92;46,86;21.602.932,38
OSXB3;3,15;;-0,02;0,00;0,00;100,00;-1.948,92;-5.570,69;-0,05;-21,49;-21,44;;0,95;-0,02;-0,01;0,03;12,37;-28,97;60,22;-2,34;3,34;0,01;-42,35;;14.120,53
PARD3;18,51;1,71;16,71;3,42;1,47;29,33;16,31;10,94;11,21;11,73;0,53;0,16;1,83;15,32;-2,13;1,45;20,45;8,77;18,71;0,43;0,57;0,80;11,89;13,47;8.089.075,85
PATI3;18,10;;18,55;0,78;0,35;11,82;3,97;1,70;7,93;8,76;0,66;0,06;0,31;0,68;-1,33;3,15;4,18;1,87;4,10;0,45;0,55;1,10;10,60;10,00;73.593,24
PATI4;27,00;;27,67;1,16;0,52;11,82;3,97;1,70;11,83;8,76;0,66;0,06;0,47;1,02;-1,99;3,15;4,18;1,87;4,10;0,45;0,55;1,10;10,60;10,00;5.264,00
PCAR3;62,88;1,13;33,18;1,21;0,28;21,29;2,84;0,80;9,34;15,80;6,46;0,84;0,27;-9,46;-0,43;0,92;3,65;0,85;4,98;0,23;0,77;1,07;8,77;;116.641.142,35
PCAR4;72,11;0,20;38,05;1,39;0,32;21,29;2,84;0,80;10,71;15,80;6,46;0,84;0,30;-10,85;-0,50;0,92;3,65;0,85;4,98;0,23;0,77;1,07;8,77;;132.993.317,74
PDGR3;3,43;;-0,03;-0,01;0,01;14,27;-178,95;-385,86;-0,07;-4,14;-4,07;;0,13;-0,01;-0,07;0,38;16,50;-45,19;11,96;-2,74;3,74;0,12;-30,29;;204.887,00
PEAB3;48,06;7,55;13,52;1,16;0,89;30,74;12,03;11,24;12,63;10,64;-3,57;-0,33;1,52;2,92;-1,56;3,49;8,58;6,60;5,34;0,77;0,23;0,59;7,19;11,98;11.329,58
PEAB4;60,00;6,65;16,87;1,45;1,11;30,74;12,03;11,24;15,77;10,64;-3,57;-0,33;1,90;3,64;-1,95;3,49;8,58;6,60;5,34;0,77;0,23;0,59;7,19;11,98;17.750,00
PETR3;21,00;3,02;-21,08;1,17;0,28;42,76;7,30;-4,36;12,60;29,94;17,48;1,62;0,92;9,54;-0,34;1,21;-5,53;-1,34;2,74;0,24;0,76;0,31;-1,24;;462.512.802,03
PETR4;20,44;4,03;-20,52;1,14;0,27;42,76;7,30;-4,36;12,26;29,94;17,48;1,62;0,90;9,28;-0,33;1,21;-5,53;-1,34;2,74;0,24;0,76;0,31;-1,24;;1.736.726.225,75
PFRM3;4,56;;26,54;0,56;0,16;14,90;1,42;0,42;7,80;16,53;8,73;0,63;0,11;1,14;-0,50;1,25;2,12;0,59;3,28;0,28;0,72;1,42;6,74;;2.360.974,85
PINE3;0,00;;0,00;0,00;0,00;-13,87;-45,56;-12,97;0,00;-0,71;;;0,00;0,00;0,00;0,96;-9,47;-0,70;;0,07;0,93;0,05;-1,60;;
PINE4;2,74;;-5,09;0,48;0,04;-13,87;-45,56;-12,97;-1,45;-0,71;;;0,66;-2,41;-0,05;0,96;-9,47;-0,70;;0,07;0,93;0,05;-1,60;;1.679.395,05
PLAS3;4,30;;-7,83;-0,74;0,08;7,68;1,57;-1,67;8,38;36,34;27,96;;0,13;-0,30;-0,11;0,44;9,45;-1,08;3,81;-0,11;1,11;0,65;-3,25;;8.058,13
PMAM3;10,28;;-0,80;7,02;0,11;0,24;1,67;-11,58;5,58;39,15;33,57;42,23;0,09;-0,23;-0,19;0,48;-874,44;-13,66;-5,02;0,02;0,98;1,18;-0,55;;2.226.521,30
PNVL3;23,55;0,71;40,96;5,97;2,01;29,58;4,45;2,80;25,78;29,04;3,88;0,90;1,15;8,99;-5,11;1,58;14,58;4,90;10,20;0,34;0,66;1,75;6,53;11,14;2.531.153,05
PNVL4;17,90;1,03;31,13;4,54;1,53;29,58;4,45;2,80;19,59;29,04;3,88;0,90;0,87;6,83;-3,88;1,58;14,58;4,90;10,20;0,34;0,66;1,75;6,53;11,14;189.995,20
POMO3;2,54;5,24;12,29;0,97;0,43;15,28;6,66;4,52;8,33;12,28;3,74;0,44;0,55;1,98;-0,89;1,71;7,93;3,49;6,05;0,44;0,56;0,77;9,51;18,94;879.934,25
POMO4;2,64;5,04;12,77;1,01;0,45;15,28;6,66;4,52;8,66;12,28;3,74;0,44;0,58;2,06;-0,93;1,71;7,93;3,49;6,05;0,44;0,56;0,77;9,51;18,94;25.675.249,50
POSI3;4,06;;27,61;1,08;0,30;25,07;5,16;1,09;5,82;8,37;2,54;0,47;0,30;1,97;-1,22;1,25;3,90;1,07;7,33;0,27;0,73;0,98;0,77;;19.506.506,83
PPAR3;250.020,00;;46.023,58;542,17;397,51;;;;61.671,60;61.663,18;-8,42;-0,07;;7.421,37;-421,42;17,84;1,18;0,86;0,86;0,73;0,27;0,00;;-2,14;
PPLA11;11,28;;-9,16;1.221,13;1.221,13;;;;-9,16;-9,16;;;;;-1.221,13;;-13.330,77;-13.330,77;;1,00;0,00;0,00;;;227.713,35
PRIO3;31,51;;6,21;1,93;0,68;36,29;59,34;42,48;4,45;7,08;2,64;1,15;2,64;-7,00;-0,91;0,72;31,16;10,99;17,63;0,35;0,65;0,26;45,40;41,93;122.486.520,50
PRNR3;9,10;;-32,06;4,64;1,45;14,06;2,23;-3,10;44,61;49,96;5,35;0,56;0,99;10,59;-3,10;1,34;-14,47;-4,51;1,73;0,31;0,69;1,46;;;1.312.593,75
PSSA3;47,56;4,91;11,75;1,91;0,47;100,00;6,31;7,18;13,38;3,94;-9,44;-1,34;0,84;3,15;-1,58;1,27;16,21;3,97;6,71;0,24;0,76;0,55;3,19;6,68;36.650.723,80
PTBL3;3,32;1,19;10,24;1,42;0,26;33,25;9,31;4,47;4,92;9,78;4,86;1,40;0,46;2,64;-0,49;1,26;13,84;2,52;8,46;0,18;0,82;0,56;1,00;-24,22;5.255.166,35
PTCA11;0,00;;0,00;0,00;0,00;44,03;10,21;5,83;0,00;;2,66;0,79;0,00;0,00;0,00;1,72;17,05;6,39;12,70;0,37;0,63;1,10;66,37;81,56;
PTCA3;0,00;;0,00;0,00;0,00;44,03;10,21;5,83;0,00;;2,66;0,79;0,00;0,00;0,00;1,72;17,05;6,39;12,70;0,37;0,63;1,10;66,37;81,56;
PTNT3;7,92;2,23;14,84;1,43;0,71;12,38;5,04;4,86;14,29;12,85;3,23;0,32;0,72;5,91;-1,31;1,36;9,63;4,78;6,31;0,50;0,50;0,98;4,59;11,27;4.320,50
PTNT4;4,03;4,38;7,55;0,73;0,36;12,38;5,04;4,86;7,27;12,85;3,23;0,32;0,37;3,01;-0,67;1,36;9,63;4,78;6,31;0,50;0,50;0,98;4,59;11,27;130.913,73
QUAL3;23,76;17,44;18,41;4,48;1,94;81,37;28,04;17,98;11,80;13,03;1,23;0,47;3,31;11,65;-2,82;2,12;24,35;10,52;14,81;0,43;0,57;0,59;2,97;10,27;96.474.728,25
QUSW3;0,00;;0,00;0,00;0,00;24,86;9,49;2,84;0,00;1,45;1,45;0,40;0,00;0,00;0,00;1,26;8,25;3,50;10,97;0,42;0,58;1,23;15,03;-21,64;
QVQP3B;0,00;;0,00;0,00;0,00;;;;0,00;0,29;0,29;-0,75;;0,00;0,00;;-250,91;-250,91;-258,18;1,00;0,00;0,00;;;
RADL3;109,87;0,61;44,14;8,73;2,79;29,51;6,49;4,43;30,15;30,88;0,73;0,21;1,96;19,35;-5,45;1,42;19,78;6,31;21,11;0,32;0,68;1,42;14,57;18,34;210.766.049,33
RAIL3;22,40;;71,97;4,18;0,99;34,17;27,52;7,06;18,46;24,62;6,16;1,40;5,08;22,59;-1,14;1,47;5,81;1,37;8,15;0,24;0,76;0,19;11,31;;194.868.770,43
RANI3;3,37;0,32;-10,17;1,59;0,36;30,74;23,56;-6,11;2,64;6,20;3,38;2,03;0,62;6,93;-0,52;1,20;-15,58;-3,53;13,37;0,23;0,77;0,58;3,45;;119.062,50
RANI4;6,45;0,17;-19,47;3,03;0,69;30,74;23,56;-6,11;5,05;6,20;3,38;2,03;1,19;13,26;-1,00;1,20;-15,58;-3,53;13,37;0,23;0,77;0,58;3,45;;69.107,60
RAPT3;7,37;3,68;8,48;1,17;0,40;24,72;10,43;5,90;4,80;7,13;1,66;0,40;0,50;1,13;-0,99;2,49;13,81;4,75;7,97;0,34;0,66;0,80;10,44;;116.697,40
RAPT4;8,93;3,03;10,27;1,42;0,49;24,72;10,43;5,90;5,82;7,13;1,66;0,40;0,61;1,37;-1,20;2,49;13,81;4,75;7,97;0,34;0,66;0,80;10,44;;40.827.425,15
RCSL3;1,77;;-41,00;-1,97;3.530,01;23,59;2,25;-16,54;301,59;249,31;-0,17;;6,78;-11,02;-5,63;0,54;4,80;-8.608,85;-0,65;-1.795,00;2.795,00;520,40;99,40;;65.823,38
RCSL4;1,31;;-30,35;-1,46;2.612,60;23,59;2,25;-16,54;223,21;249,31;-0,17;;5,02;-8,16;-4,17;0,54;4,80;-8.608,85;-0,65;-1.795,00;2.795,00;520,40;99,40;;1.611.635,28
RDNI3;7,43;0,12;258,51;0,53;0,22;26,29;2,66;0,39;38,22;81,24;43,02;0,59;1,02;0,97;-0,36;2,43;0,20;0,09;-0,03;0,42;0,58;0,22;-10,52;-33,98;204.963,05
REDE3;10,04;2,27;25,77;4,39;1,06;20,28;14,07;7,42;13,60;18,08;4,48;1,45;1,91;14,04;-1,50;1,35;17,05;4,11;9,71;0,24;0,76;0,55;6,40;18,30;21.828,98
RENT3;38,44;1,03;34,14;5,37;1,41;25,20;14,66;8,10;18,87;23,51;4,64;1,32;2,77;17,67;-1,90;1,45;15,73;4,14;7,80;0,26;0,74;0,51;21,02;15,69;369.205.155,80
RLOG3;18,06;;17,60;1,00;0,24;34,17;27,37;6,91;4,45;10,64;6,20;1,40;1,22;5,42;-0,27;1,47;5,69;1,34;8,11;0,24;0,76;0,19;11,91;;9.698.950,85
RNEW11;6,15;;-0,08;-0,08;0,04;32,42;-572,97;-1.032,75;-0,15;-2,92;-2,77;;0,87;-0,03;-0,04;0,01;92,99;-43,52;-120,77;-0,47;1,47;0,04;-24,86;;209.467,23
RNEW3;2,46;;-0,10;-0,09;0,04;32,42;-572,97;-1.032,75;-0,18;-2,92;-2,77;;1,05;-0,04;-0,04;0,01;92,99;-43,52;-120,77;-0,47;1,47;0,04;-24,86;;45.735,20
RNEW4;1,84;;-0,08;-0,07;0,03;32,42;-572,97;-1.032,75;-0,14;-2,92;-2,77;;0,78;-0,03;-0,03;0,01;92,99;-43,52;-120,77;-0,47;1,47;0,04;-24,86;;78.605,10
